 ,Label,Area,Mean,Min,Max,Perim.
38,frame_0030.png:0002-1071,44.499,90.200,7,168,28.643
39,frame_0030.png:0003-1286,44.045,88.654,4,136,28.412
40,frame_0030.png:0001-0891,43.161,90.847,11,136,27.818
41,frame_0030.png:0002-1071,44.561,89.908,7,168,28.736
42,frame_0030.png:0003-1286,44.238,88.359,4,136,28.570
43,frame_0030.png:0001-0891,43.317,90.574,11,136,27.949
44,frame_0030.png:0002-1071,44.854,89.774,7,168,28.744
45,frame_0030.png:0003-1286,44.443,88.126,4,136,28.793
46,frame_0030.png:0001-0892,43.360,90.672,11,136,27.976
47,frame_0030.png:0002-1071,44.599,89.954,7,168,28.932
48,frame_0030.png:0003-1286,44.281,88.376,4,136,28.643
49,frame_0030.png:0001-0891,43.647,90.217,11,136,28.022
50,frame_0030.png:0002-1071,45.003,89.327,7,168,28.847
51,frame_0030.png:0003-1286,44.736,87.509,4,136,28.997
52,frame_0030.png:0001-0891,44.592,89.543,9,136,28.245
53,frame_0030.png:0002-1071,46.236,88.269,7,168,29.340
54,frame_0030.png:0003-1287,46.117,86.021,4,136,29.024
55,frame_0030.png:0001-0892,44.885,89.225,9,136,28.468
56,frame_0030.png:0002-1071,46.696,87.649,7,168,29.544
57,frame_0030.png:0003-1287,46.385,85.501,4,136,29.378
58,frame_0030.png:0001-0892,45.308,88.877,9,136,28.515
59,frame_0030.png:0002-1071,47.013,87.607,7,168,29.525
60,frame_0030.png:0003-1287,46.908,84.901,4,136,29.340
61,frame_0030.png:0001-0892,45.433,88.593,9,136,28.580
62,frame_0030.png:0002-1071,47.188,87.495,7,168,29.394
63,frame_0030.png:0003-1287,47.157,84.646,4,136,29.694
64,frame_0030.png:0001-0892,45.408,88.547,9,136,28.561
65,frame_0030.png:0002-1071,47.094,87.295,7,168,29.217
66,frame_0030.png:0003-1287,47.038,84.593,4,136,29.536
67,frame_0030.png:0001-0892,45.290,88.619,9,136,28.561
68,frame_0030.png:0002-1072,47.026,87.230,7,168,29.282
69,frame_0030.png:0003-1287,47.013,84.473,4,136,29.667
70,frame_0030.png:0001-0892,45.296,88.538,9,136,28.691
71,frame_0030.png:0002-1072,47.169,86.801,7,168,29.498
72,frame_0030.png:0003-1288,47.306,83.918,4,136,29.740
73,frame_0030.png:0001-0892,45.501,88.364,9,136,28.691
74,frame_0030.png:0002-1072,47.561,86.513,7,168,29.590
75,frame_0030.png:0003-1288,47.449,83.843,4,136,29.647
76,frame_0030.png:0001-0892,45.458,88.340,9,136,28.626
77,frame_0030.png:0002-1072,47.275,86.537,7,168,29.432
78,frame_0030.png:0003-1288,47.256,83.840,4,136,29.628
79,frame_0030.png:0001-0892,45.426,88.087,9,136,28.561
80,frame_0030.png:0002-1072,47.499,86.137,7,168,29.682
81,frame_0030.png:0003-1288,47.530,83.477,4,136,29.871
82,frame_0030.png:0001-0892,45.526,87.986,9,136,28.626
83,frame_0030.png:0002-1073,47.406,86.216,7,168,29.617
84,frame_0030.png:0003-1288,47.567,83.168,4,136,29.563
85,frame_0030.png:0001-0892,45.613,87.914,9,136,28.738
86,frame_0030.png:0002-1073,47.686,85.752,7,168,29.859
87,frame_0030.png:0003-1288,47.667,83.034,4,136,29.694
88,frame_0030.png:0001-0892,45.551,87.725,9,136,28.626
89,frame_0030.png:0002-1073,47.580,85.617,7,168,29.702
90,frame_0030.png:0003-1288,47.673,82.841,4,136,29.740
91,frame_0030.png:0001-0898,45.713,78.175,9,136,28.626
92,frame_0030.png:0002-1078,47.723,75.155,7,168,29.813
93,frame_0030.png:0003-1294,47.711,71.873,4,136,29.759
94,frame_0030.png:0001-0898,45.881,77.816,9,136,28.719
95,frame_0030.png:0002-1078,48.065,74.826,7,168,29.663
96,frame_0030.png:0003-1294,48.115,71.407,4,136,29.898
97,frame_0030.png:0001-0898,46.049,77.805,9,136,28.653
98,frame_0030.png:0002-1078,48.202,74.787,7,168,29.840
99,frame_0030.png:0003-1293,48.208,71.335,4,136,29.963
100,frame_0030.png:0001-0898,45.781,77.644,9,136,28.626
101,frame_0030.png:0002-1079,47.984,74.635,7,168,30.017
102,frame_0030.png:0003-1294,47.984,71.332,4,136,29.917
103,frame_0030.png:0001-0898,45.794,77.595,9,136,28.738
104,frame_0030.png:0002-1079,47.959,74.687,7,168,30.017
105,frame_0030.png:0003-1293,48.152,71.265,4,136,29.740
106,frame_0030.png:0001-0898,45.763,77.475,9,136,28.738
107,frame_0030.png:0002-1079,47.953,74.600,7,168,29.709
108,frame_0030.png:0003-1294,48.258,70.918,4,136,29.786
109,frame_0030.png:0001-0898,45.875,77.350,9,136,28.653
110,frame_0030.png:0002-1078,47.885,74.339,7,168,29.729
111,frame_0030.png:0003-1294,48.134,70.806,4,136,29.740
112,frame_0030.png:0001-0898,46.055,77.106,9,136,28.803
113,frame_0030.png:0002-1079,48.016,74.239,7,168,29.794
114,frame_0030.png:0003-1294,48.302,70.621,4,136,30.159
115,frame_0030.png:0001-0898,45.694,76.939,9,136,28.672
